,Unnamed: 0_x,Bike Stop #,name_x,distance,venue_type,Unnamed: 0_y,name_y,latitude,longitude,free_bikes,empty_slots
62,62,57,,,[],57,PL. CARLES PI I SUNYER,41.385086,2.174016,5,15
63,63,58,Museo Dalí Escultor. Edificio Real Círculo Artístico,57.0,Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
64,64,58,The Gaudí Exhibition Center,164.0,Art Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
65,65,58,Via Sepulcral Romana,171.0,Monument,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
66,66,58,Museu Diocesà de Barcelona,169.0,History Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
67,67,58,Museo Diocesano de Barcelona,179.0,History Museum,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
68,68,58,Reial Cercle Artístic de Barcelona,66.0,Concert Hall,58,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,15,11
69,69,59,,,[],59,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,8,18
70,70,60,Museu Blau,168.0,History Museum,60,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,41.3631066,2.1398322,29,1
71,71,61,Joan Miró Tour - Cementiri Montjuic,41.0,Museum,61,"C/ LLOBREGÓS, 115",41.4246885,2.1570492,8,19
72,72,62,,,[],62,"AV. DIAGONAL, 672",41.3880355,2.1256248,1,32
73,73,63,,,[],63,"AV. MERIDIANA, 404",41.4304126,2.1834174,14,22
74,74,64,,,[],64,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,24,3
75,75,65,,,[],65,"C/ TARRAGONA, 141",41.3779613,2.1450491,6,14
76,76,66,,,[],66,"C/ DEL CANÓ, 1",41.4013296,2.1574439,0,25
77,77,67,"Davis Museum, The Davis Lisboa Mini-Museum of Contemporary Art in Barcelona",123.0,Museum,67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
78,78,67,Davis Lisboa,124.0,Painter,67,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,30,12
79,79,68,Museu de la Música,118.0,History Museum,68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
80,80,68,Museu de Carrosses Fúnebres,156.0,History Museum,68,"C/ CARDENER, 59",41.4105956,2.1579897,10,16
81,81,69,,,[],69,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,10,13
82,82,70,,,[],70,"C/ AMILCAR, 78",41.4260751,2.1722534,8,17
83,83,71,,,[],71,C/ NOVA  BOCANA,41.3702483,2.1878126,9,22
84,84,72,,,[],72,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,20,2
85,85,73,,,[],73,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,8,14
86,86,74,,,[],74,"C/ LLEIDA, 40",41.3717304,2.1554047,14,11
87,87,75,Punt d'Ancoratge de Bicicletes Guàrdia Urbana,121.0,Museum,75,"C/ MADRAZO, 39",41.400305,2.149144,0,27
88,88,76,Fremap-mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social,74.0,Museum,76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
89,89,76,Arxiu Joan Maragall,181.0,Museum,76,"C/ MADRAZO, 131",41.3967824,2.1445567,1,25
90,90,77,,,[],77,"C/ CARME KARR, 12-14",41.3986238,2.1204941,0,23
91,91,78,,,[],78,"C/ GAVÀ, 1",41.3723682,2.1419494,18,12
92,92,79,,,[],79,PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,7,19
93,93,80,,,[],80,"C/ ROSSELLÓ, 261",41.3954094,2.1599427,2,24
94,94,81,Generalitat de Catalunya,102.0,History Museum,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
95,95,81,Centre Cultural Caixa Catalunya,161.0,Museum,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
96,96,81,Palau Robert,99.0,Art Gallery,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
97,97,81,Casa Ramon Casas,120.0,Monument,81,"C/ TUSET, 19",41.3960982,2.1513154,1,23
98,98,82,,,[],82,PL. TETUAN,41.3943454,2.1751709,6,17
99,99,83,,,[],83,"C/ MAIGNON, 31-41",41.4095926,2.1524953,6,23
100,100,84,,,[],84,"C/ VIRIAT,  53",41.3808222,2.141539,2,17
101,101,85,,,[],85,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,7,19
102,102,86,Museu de Zoologia,93.0,Science Museum,86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
103,103,86,Laboratori de Natura,95.0,Science Museum,86,"RDA. DE SANT PERE, 26",41.389492,2.17425,2,17
104,104,87,Teatre Museu el Rei de la Màgia,106.0,Art Museum,87,"C/ LISBOA, 1",41.429561735076526,2.158968456344588,14,15
105,105,87,Museo Magic World,187.0,Museum,87,"C/ LISBOA, 1",41.429561735076526,2.158968456344588,14,15
106,106,88,,,[],88,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,10,14
107,107,89,,,[],89,"PG. ZONA FRANCA, 244",41.36352,2.1369015,7,8
108,108,90,,,[],90,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,32,1
109,109,91,,,[],91,"C/ PUJADES, 121",41.3993329,2.1974184,16,11
110,110,92,,,[],92,"C/ CAMÈLIES, 78",41.4145614,2.1658677,16,9
111,111,93,,,[],93,"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,5,16
112,112,94,,,[],94,"PL. CATALUNYA, 7",41.386543,2.169427,1,25
113,113,95,MUHBA Casa de l'Aigua,106.0,Museum,95,"C/ ARIZALA, 77",41.3789061,2.1233038,19,16
114,114,96,,,[],96,"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,9,17
115,115,97,Museo Auto-Moto,165.0,Museum,97,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,13,12
116,116,98,,,[],98,"LA RAMBLA, 80",41.3811923,2.1735007,3,15
117,117,99,Les Rambles,56.0,Art Museum,99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
118,118,99,Mosaico Pla de l'Os,104.0,Museum,99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
119,119,99,Big Fun Museum,126.0,Museum,99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
120,120,99,Erotic Museum (Museu de l'Eròtica),134.0,Erotic Museum,99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
121,121,99,Erotic Museum,139.0,Art Museum,99,"AV. DIAGONAL, 634",41.3908477,2.136579,1,23
122,122,100,,,[],100,"C/ RAMON TURRÓ, 246",41.4017084,2.2053803,25,1
123,123,101,Tienda Infame - Art Shop,115.0,Museum,101,"C/ PROVENÇA, 388-390",41.401061,2.169941,3,20
124,124,102,Palau Macaya,155.0,Science Museum,102,"C/ IRLANDA, 34",41.4315,2.18579,4,8
125,125,103,,,[],103,"C/ CALABRIA, 158",41.3821658,2.1520645,17,5
126,126,104,,,[],104,"GRAN VIA DE LES CORTS CATALANES, 1118",41.4167933,2.2058345,10,10
127,127,105,,,[],105,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",41.3621232,2.1356187,22,11
128,128,106,,,[],106,"C/ CARTAGENA, 308",41.410314,2.1757334,6,11
129,129,107,,,[],107,"C/ PERE IV, 488",41.4148983,2.207186,7,15
130,130,108,,,[],108,"PASSATGE DE SENILLOSA, 3-5",41.3954723,2.1250451,1,24
131,131,109,,,[],109,"C/ NÀPOLS, 82",41.3941557,2.1813305,4,22
132,132,110,,,[],110,"C/ ENTENÇA, 70",41.3790954665734,2.1516210083711997,14,10
133,133,111,,,[],111,"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,11,9
134,134,112,,,[],112,"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,18,14
135,135,113,,,[],113,"C/ VILAMARÍ, 2",41.3755016,2.154004,7,17
136,136,114,,,[],114,"C/ BRUC, 45",41.3924661,2.1717397,2,25
137,137,115,Museo Magic World,204.0,Museum,115,"C/ FERNANDO PESSOA, 72",41.4457195,2.1929816,20,5
138,138,116,,,[],116,"C/ CONSELL DE CENT, 482",41.40013,2.1780175,13,14
139,139,117,,,[],117,"RBLA. CATALUNYA, 47",41.3902625,2.164035,8,19
140,140,118,Fundación Antoni Tàpies,137.0,Museum,118,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,19,2
141,141,118,Museu del Perfum,128.0,History Museum,118,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,19,2
142,142,118,Museu del Modernisme Català,165.0,Art Museum,118,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,19,2
143,143,118,Casa Lleó i Morera,175.0,Monument,118,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,19,2
144,144,119,Casa Dels Entremesos,165.0,Museum,119,"C/ VILADOMAT, 122",41.3808772,2.1559939,11,15
145,145,120,,,[],120,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,8,22
146,146,121,,,[],121,"AV. DIAGONAL, 650",41.3897943,2.1328634,9,24
147,147,122,,,[],122,"C/ VILADOMAT,  2",41.3755747,2.1629349,24,2
148,148,123,,,[],123,"C/ CARDENAL REIG, 11",41.37684,2.114029,9,18
149,149,124,,,[],124,"C/ GARRIGA I ROCA, 2",41.4191957,2.1718497,9,4
150,150,125,,,[],125,"PG. FABRA I PUIG, 385",41.4333259,2.1629258,1,26
151,151,126,,,[],126,"C/ ROC BORONAT, 134",41.4034967,2.1936584,0,27
152,152,127,Museu Can Framis,118.0,Art Museum,127,"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,16,11
153,153,128,,,[],128,"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,29,3
154,154,129,,,[],129,"RAMBLA DEL RAVAL, 20",41.3781065,2.1696744,7,19
155,155,130,,,[],130,"PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,0,18
156,156,131,,,[],131,"C/ SANT RAMON NONAT,  26",41.3770199,2.1169828,12,9
157,157,132,,,[],132,"PG. BONANOVA, 100",41.400793,2.122889,4,20
158,158,133,,,[],133,"C/ VILLARROEL, 39",41.3821314,2.1606534,3,28
159,159,134,Santería Milagrosa,141.0,Art Museum,134,JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA,41.357067,2.141563,7,25
160,160,135,,,[],135,"C/ LAFORJA, 74-76",41.3976165,2.1471724,2,22
161,161,136,,,[],136,"C/ SELVA DE MAR, 46",41.4091355,2.2088179,14,13
162,162,137,,,[],137,"C/ VALLMAJOR, 13",41.3981616,2.1386719,5,21
163,163,138,,,[],138,"C/ VALLESPIR, 49",41.3796421,2.1368202,11,8
164,164,139,,,[],139,AV. PARAL.LEL 164,41.3751866,2.1568773,12,5
165,165,140,,,[],140,"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,32,6
166,166,141,,,[],141,"C/ COMERÇ, 36",41.3869612,2.1820169,6,18
167,167,142,Museu de la Xocolata,7.0,Art Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
168,168,142,Convent de Sant Agustí,93.0,Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
169,169,142,Picasso Museum (Museu Picasso),195.0,Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
170,170,142,Laboratori de Natura,161.0,Science Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
171,171,142,Fundació Joan Brossa,194.0,Art Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
172,172,142,Museo de Ciencias Naturales,195.0,History Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
173,173,142,Museu Martorell,198.0,Science Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
