,Bike Stop #,name,distance,venue_type
218,178,Capella del Santissim Sacrament,163,Museum
219,178,MUHBA Santa Caterina,137,Museum
220,178,Real Academia de Bellas Artés de San Jorge,192,Art Museum
221,178,Suau,165,Art Museum
222,179,La Fábrica del Sol,165,Museum
223,179,Gas Natural Fenosa,126,Art Museum
224,180,,,[]
225,181,,,[]
226,182,,,[]
227,183,,,[]
228,184,Museu de la Farmàcia Catalana,149,Science Museum
229,185,,,[]
230,186,Museu d'Història de Barcelona - Centre d'Interpretació Històrica del Refugi 307,29,Museum
231,186,Refugi 307,48,Monument
232,187,,,[]
233,188,Museo de Cera de Barcelona - MUCESA,41,Art Museum
234,188,Wax museum,44,Art Museum
235,188,Museo Marítimo de Barcelona,173,Art Museum
236,188,Columbus Monument,172,Art Museum
237,188,Arts Santa Mònica,61,Art Gallery
238,188,Galería Ferrán Cano,911,Art Gallery
239,189,,,[]
240,190,Guides & Culture,192,Museum
241,191,,,[]
242,192,,,[]
243,193,Museu Etnogràfic Andino - Amazònic,165,History Museum
244,194,,,[]
245,195,,,[]
246,196,Museu d'Història de Catalunya,203,Museum
247,197,,,[]
248,198,,,[]
249,199,,,[]
250,200,,,[]
251,201,The Gaudí Exhibition Center,180,Art Museum
252,201,Museo Dalí Escultor. Edificio Real Círculo Artístico,88,Museum
253,201,Via Sepulcral Romana,190,Monument
254,201,Museu Diocesà de Barcelona,183,History Museum
255,201,Museo Diocesano de Barcelona,193,History Museum
256,201,Reial Cercle Artístic de Barcelona,98,Concert Hall
257,202,,,[]
258,203,,,[]
259,204,,,[]
260,205,Museu Tèxtil i D'Indumentària,178,History Museum
261,206,Fundacio Privada Arqueologica Jordi Clos,144,History Museum
262,206,Museo Egipcio de Barcelona,170,History Museum
263,207,,,[]
264,208,,,[]
265,209,Fundacio Museu D'historia de la Medicina de Catalunya,152,Museum
266,209,Casa Ramon Casas,190,Monument
267,210,,,[]
268,211,Fundacio Durancamps-Casas,146,Museum
269,211,Palau Robert,187,Art Gallery
270,212,Guides & Culture,114,Museum
271,213,,,[]
272,214,Museo Clar,133,Museum
273,215,,,[]
274,216,,,[]
275,217,,,[]
276,218,MUHBA Casa de l'Aigua,193,Museum
277,219,,,[]
278,220,,,[]
279,221,,,[]
280,222,,,[]
281,223,,,[]
282,224,,,[]
283,225,,,[]
284,226,Museu del Barça,155,Museum
285,226,Gas Natural Fenosa,135,Art Museum
286,226,Biblioteca de Catalunya - Museu del Llibre Frederic Marès,185,Museum
287,226,La Capella,206,Arts and Entertainment
288,227,,,[]
289,228,,,[]
290,229,,,[]
291,230,,,[]
292,231,,,[]
293,232,,,[]
294,233,,,[]
295,234,,,[]
296,235,,,[]
297,236,,,[]
298,237,,,[]
299,238,,,[]
300,239,Museo Marítimo de Barcelona,118,Art Museum
301,239,Restaurante del Museo Marítimo,161,Museum
302,239,Arts Santa Mònica,120,Art Gallery
303,240,Montjuic (Barcelona),169,Art Museum
304,241,,,[]
305,242,,,[]
306,243,,,[]
307,244,Centre Cultural Caixa Catalunya,52,Museum
308,244,Generalitat de Catalunya,202,History Museum
309,244,Casa Ramon Casas,41,Monument
310,244,Palau Robert,211,Art Gallery
311,245,,,[]
312,246,Museu i Centre d'Estudis de l'Esport Doctor Melcior Colet,94,Museum
313,247,,,[]
314,248,,,[]
315,249,Museo Magic World,99,Museum
316,250,,,[]
317,251,Institut de Cultura de Barcelona,16,Museum
318,251,Erotic Museum (Museu de l'Eròtica),87,Erotic Museum
319,251,Big Fun Museum,97,Museum
320,251,Erotic Museum,88,Art Museum
321,251,Via Sepulcral Romana,195,Monument
322,251,Museu de les Il·lusions,160,Museum
323,251,Palau de la Virreina,19,Art Gallery
324,252,,,[]
325,253,,,[]
326,254,,,[]
327,255,,,[]
328,256,,,[]
329,257,,,[]
330,258,,,[]
331,259,Casa Dels Entremesos,74,Museum
332,259,Museu Frederic Marès,134,Museum
333,259,Museu d'Història de Barcelona,175,History Museum
334,259,The Gaudí Exhibition Center,165,Art Museum
335,259,Museu Diocesà de Barcelona,152,History Museum
336,259,Museo Diocesano de Barcelona,148,History Museum
337,259,Botiga el Rey de la Magia - Museu de la Màgia,180,Museum
338,260,,,[]
339,261,Museu Africà Daniel Comboni,116,Museum
340,262,,,[]
341,263,Io planetaris,189,Planetarium
342,264,Museo de Cera de Barcelona - MUCESA,148,Art Museum
343,264,Columbus Monument,128,Art Museum
344,264,Wax museum,185,Art Museum
345,264,Galería Ferrán Cano,1095,Art Gallery
346,265,,,[]
347,266,,,[]
348,267,,,[]
349,268,Montjuic (Barcelona),194,Art Museum
350,269,,,[]
351,270,Santería Milagrosa,104,Art Museum
352,271,,,[]
353,272,,,[]
354,273,,,[]
355,274,,,[]
356,275,,,[]
357,276,,,[]
358,277,,,[]
359,278,,,[]
360,279,,,[]
361,280,,,[]
362,281,,,[]
363,282,,,[]
364,283,,,[]
365,284,Museu del Clavegueram,149,History Museum
366,285,,,[]
367,286,,,[]
368,287,,,[]
369,288,,,[]
370,289,,,[]
371,290,Espai Bombers Parc de la Prevenció,115,Museum
372,290,Punt d'Ancoratge de Bicicletes Guàrdia Urbana,85,Museum
373,291,,,[]
374,292,,,[]
375,293,MUHBA Santa Caterina,60,Museum
376,293,Suau,159,Art Museum
377,294,,,[]
378,295,,,[]
379,296,,,[]
380,297,,,[]
381,298,Museo de Artes y Tradiciones Populares,136,Museum
382,299,Museu del Temple Expiatori de la Sagrada Familia,197,Museum
383,300,,,[]
384,301,Gerard Ribó Tantric Master,197,Erotic Museum
385,302,Gerard Ribó Tantric Master,198,Erotic Museum
386,303,,,[]
387,304,,,[]
388,305,,,[]
389,306,,,[]
390,307,,,[]
391,308,,,[]
392,309,,,[]
393,310,,,[]
394,311,,,[]
395,312,,,[]
396,313,,,[]
397,314,,,[]
398,315,,,[]
399,316,Museu Africà Daniel Comboni,166,Museum
400,317,,,[]
401,318,,,[]
402,319,,,[]
403,320,,,[]
404,321,,,[]
405,322,,,[]
406,323,Museo de Cera de Barcelona - MUCESA,146,Art Museum
407,323,Columbus Monument,115,Art Museum
408,323,Wax museum,184,Art Museum
409,323,Galería Ferrán Cano,1093,Art Gallery
410,324,,,[]
411,325,,,[]
412,326,,,[]
413,327,Museu del Temple Expiatori de la Sagrada Familia,164,Museum
414,328,,,[]
415,329,,,[]
416,330,,,[]
417,331,,,[]
418,332,Paseo de Gracia,43,Art Museum
419,332,Fundacio Privada Arqueologica Jordi Clos,150,History Museum
420,332,Fundación Antoni Tàpies,180,Museum
421,332,Museo Egipcio de Barcelona,134,History Museum
422,333,Barcelona Bus Turístic,82,Art Museum
423,334,Hemp Museum Gallery,166,Museum
424,334,Palau Mornau,175,Museum
425,334,Real Academia de Bellas Artés de San Jorge,185,Art Museum
426,335,Museo de las Artes Decorativas de Barcelona,154,Art Museum
427,335,Institut de Cultura de Barcelona,168,Museum
428,336,,,[]
429,337,,,[]
430,338,,,[]
431,339,,,[]
432,340,,,[]
433,341,,,[]
434,342,Museo Minerales Colegio la Salle Bonanova,186,Science Museum
435,343,Armeria M. Roca,108,Museum
436,344,Federacio Catalana de Tennis,781,Museum
437,345,,,[]
438,346,,,[]
439,347,,,[]
440,348,,,[]
441,349,,,[]
442,350,MUHBA a Fabra i Coats,95,History Museum
443,351,,,[]
444,352,,,[]
